"train/epoch","roberta-base_S3&A&Q_0_r4_drop0.1_+0_ - _step","roberta-base_S3&A&Q_0_r4_drop0.1_+0_ - _step__MIN","roberta-base_S3&A&Q_0_r4_drop0.1_+0_ - _step__MAX","roberta-base_S3&A&Q_0_r4_drop0.1_+0_ - train/loss","roberta-base_S3&A&Q_0_r4_drop0.1_+0_ - train/loss__MIN","roberta-base_S3&A&Q_0_r4_drop0.1_+0_ - train/loss__MAX","roberta-base_S3&A_0_r4_drop0.1_+0_ - _step","roberta-base_S3&A_0_r4_drop0.1_+0_ - _step__MIN","roberta-base_S3&A_0_r4_drop0.1_+0_ - _step__MAX","roberta-base_S3&A_0_r4_drop0.1_+0_ - train/loss","roberta-base_S3&A_0_r4_drop0.1_+0_ - train/loss__MIN","roberta-base_S3&A_0_r4_drop0.1_+0_ - train/loss__MAX","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.75 - _step","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.75 - _step__MIN","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.75 - _step__MAX","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.75 - train/loss","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.75 - train/loss__MIN","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.75 - train/loss__MAX","roberta-base_A&Q_0_r4_drop0.1_+0_ - _step","roberta-base_A&Q_0_r4_drop0.1_+0_ - _step__MIN","roberta-base_A&Q_0_r4_drop0.1_+0_ - _step__MAX","roberta-base_A&Q_0_r4_drop0.1_+0_ - train/loss","roberta-base_A&Q_0_r4_drop0.1_+0_ - train/loss__MIN","roberta-base_A&Q_0_r4_drop0.1_+0_ - train/loss__MAX","roberta-base_A&Q_3_r4_drop0.1_+3_ - _step","roberta-base_A&Q_3_r4_drop0.1_+3_ - _step__MIN","roberta-base_A&Q_3_r4_drop0.1_+3_ - _step__MAX","roberta-base_A&Q_3_r4_drop0.1_+3_ - train/loss","roberta-base_A&Q_3_r4_drop0.1_+3_ - train/loss__MIN","roberta-base_A&Q_3_r4_drop0.1_+3_ - train/loss__MAX","google/gemma-2b_A&Q_0_r4_drop0.1_+0_ - _step","google/gemma-2b_A&Q_0_r4_drop0.1_+0_ - _step__MIN","google/gemma-2b_A&Q_0_r4_drop0.1_+0_ - _step__MAX","google/gemma-2b_A&Q_0_r4_drop0.1_+0_ - train/loss","google/gemma-2b_A&Q_0_r4_drop0.1_+0_ - train/loss__MIN","google/gemma-2b_A&Q_0_r4_drop0.1_+0_ - train/loss__MAX","google/gemma-2b_S3&A&Q_0_r4_drop0.1_+0_size1.0 - _step","google/gemma-2b_S3&A&Q_0_r4_drop0.1_+0_size1.0 - _step__MIN","google/gemma-2b_S3&A&Q_0_r4_drop0.1_+0_size1.0 - _step__MAX","google/gemma-2b_S3&A&Q_0_r4_drop0.1_+0_size1.0 - train/loss","google/gemma-2b_S3&A&Q_0_r4_drop0.1_+0_size1.0 - train/loss__MIN","google/gemma-2b_S3&A&Q_0_r4_drop0.1_+0_size1.0 - train/loss__MAX","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.5 - _step","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.5 - _step__MIN","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.5 - _step__MAX","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.5 - train/loss","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.5 - train/loss__MIN","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.5 - train/loss__MAX","distilbert-base-uncased_A&Q_0_r4_drop0.1_+0_ - _step","distilbert-base-uncased_A&Q_0_r4_drop0.1_+0_ - _step__MIN","distilbert-base-uncased_A&Q_0_r4_drop0.1_+0_ - _step__MAX","distilbert-base-uncased_A&Q_0_r4_drop0.1_+0_ - train/loss","distilbert-base-uncased_A&Q_0_r4_drop0.1_+0_ - train/loss__MIN","distilbert-base-uncased_A&Q_0_r4_drop0.1_+0_ - train/loss__MAX","distilbert-base-uncased_S3&A&Q_0_r4_drop0.1_+0_size1.0 - _step","distilbert-base-uncased_S3&A&Q_0_r4_drop0.1_+0_size1.0 - _step__MIN","distilbert-base-uncased_S3&A&Q_0_r4_drop0.1_+0_size1.0 - _step__MAX","distilbert-base-uncased_S3&A&Q_0_r4_drop0.1_+0_size1.0 - train/loss","distilbert-base-uncased_S3&A&Q_0_r4_drop0.1_+0_size1.0 - train/loss__MIN","distilbert-base-uncased_S3&A&Q_0_r4_drop0.1_+0_size1.0 - train/loss__MAX","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.25 - _step","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.25 - _step__MIN","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.25 - _step__MAX","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.25 - train/loss","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.25 - train/loss__MIN","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.25 - train/loss__MAX"
"2.01","6","6","6","0.4537","0.4537","0.4537","6","6","6","0.4314","0.4314","0.4314","","","","","","","6","6","6","0.3788","0.3788","0.3788","","","","","","","","","","","","","","","","","","","","","","","","","6","6","6","0.404","0.404","0.404","6","6","6","0.4815","0.4815","0.4815","","","","","",""
"2.04","","","","","","","","","","","","","","","","","","","","","","","","","8","8","8","0.2987","0.2987","0.2987","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.1","","","","","","","","","","","","","3","3","3","0.5185","0.5185","0.5185","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","15","15","0.4822","0.4822","0.4822","15","15","15","0.5457","0.5457","0.5457","","","","","","","","","","","","","","","","","","","","","","","",""
"2.27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","16","16","0.5066","0.5066","0.5066","16","16","16","0.4994","0.4994","0.4994","","","","","","","","","","","","","","","","","","","","","","","",""
"2.33","","","","","","","","","","","","","","","","","","","","","","","","","9","9","9","0.2718","0.2718","0.2718","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.42","7","7","7","0.4115","0.4115","0.4115","7","7","7","0.4098","0.4098","0.4098","","","","","","","7","7","7","0.3633","0.3633","0.3633","","","","","","","17","17","17","0.5338","0.5338","0.5338","17","17","17","0.4353","0.4353","0.4353","","","","","","","7","7","7","0.3893","0.3893","0.3893","7","7","7","0.4265","0.4265","0.4265","","","","","",""
"2.57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","18","18","0.4933","0.4933","0.4933","18","18","18","0.5123","0.5123","0.5123","","","","","","","","","","","","","","","","","","","","","","","",""
"2.62","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","0.2841","0.2841","0.2841","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","19","19","0.4738","0.4738","0.4738","19","19","19","0.4578","0.4578","0.4578","","","","","","","","","","","","","","","","","","","","","","","",""
"2.82","8","8","8","0.3955","0.3955","0.3955","8","8","8","0.411","0.411","0.411","","","","","","","8","8","8","0.3613","0.3613","0.3613","","","","","","","","","","","","","","","","","","","","","","","","","8","8","8","0.3665","0.3665","0.3665","8","8","8","0.4488","0.4488","0.4488","","","","","",""
"2.86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","0.552","0.552","0.552"
"2.87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","20","20","0.4771","0.4771","0.4771","20","20","20","0.4862","0.4862","0.4862","","","","","","","","","","","","","","","","","","","","","","","",""
"2.91","","","","","","","","","","","","","","","","","","","","","","","","","11","11","11","0.2949","0.2949","0.2949","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","22","22","0.5168","0.5168","0.5168","22","22","22","0.4391","0.4391","0.4391","","","","","","","","","","","","","","","","","","","","","","","",""
"3.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","0.5112","0.5112","0.5112","","","","","","","","","","","","","","","","","",""
"3.15","","","","","","","","","","","","","5","5","5","0.4418","0.4418","0.4418","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","23","23","0.4646","0.4646","0.4646","23","23","23","0.4955","0.4955","0.4955","","","","","","","","","","","","","","","","","","","","","","","",""
"3.2","","","","","","","","","","","","","","","","","","","","","","","","","13","13","13","0.2855","0.2855","0.2855","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.22","10","10","10","0.389","0.389","0.389","10","10","10","0.4215","0.4215","0.4215","","","","","","","10","10","10","0.3462","0.3462","0.3462","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","0.3686","0.3686","0.3686","10","10","10","0.4234","0.4234","0.4234","","","","","",""
"3.33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","24","24","0.489","0.489","0.489","24","24","24","0.4792","0.4792","0.4792","","","","","","","","","","","","","","","","","","","","","","","",""
"3.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","25","25","0.4667","0.4667","0.4667","25","25","25","0.3311","0.3311","0.3311","","","","","","","","","","","","","","","","","","","","","","","",""
"3.49","","","","","","","","","","","","","","","","","","","","","","","","","14","14","14","0.278","0.278","0.278","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.63","11","11","11","0.3558","0.3558","0.3558","11","11","11","0.3665","0.3665","0.3665","","","","","","","11","11","11","0.3583","0.3583","0.3583","","","","","","","26","26","26","0.5048","0.5048","0.5048","26","26","26","0.4579","0.4579","0.4579","","","","","","","11","11","11","0.3664","0.3664","0.3664","11","11","11","0.4063","0.4063","0.4063","","","","","",""
"3.78","","","","","","","","","","","","","","","","","","","","","","","","","15","15","15","0.2742","0.2742","0.2742","27","27","27","0.4486","0.4486","0.4486","27","27","27","0.4619","0.4619","0.4619","","","","","","","","","","","","","","","","","","","","","","","",""
"3.93","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","28","28","0.4997","0.4997","0.4997","28","28","28","0.4137","0.4137","0.4137","","","","","","","","","","","","","","","","","","","","","","","",""
"4.03","13","13","13","0.3719","0.3719","0.3719","13","13","13","0.379","0.379","0.379","","","","","","","13","13","13","0.3298","0.3298","0.3298","","","","","","","","","","","","","","","","","","","","","","","","","13","13","13","0.3547","0.3547","0.3547","13","13","13","0.3962","0.3962","0.3962","","","","","",""
"4.07","","","","","","","","","","","","","","","","","","","","","","","","","17","17","17","0.2667","0.2667","0.2667","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","30","30","0.4663","0.4663","0.4663","30","30","30","0.3693","0.3693","0.3693","","","","","","","","","","","","","","","","","","","","","","","",""
"4.2","","","","","","","","","","","","","7","7","7","0.3988","0.3988","0.3988","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4.23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","31","31","0.4488","0.4488","0.4488","31","31","31","0.4325","0.4325","0.4325","","","","","","","","","","","","","","","","","","","","","","","",""
"4.36","","","","","","","","","","","","","","","","","","","","","","","","","18","18","18","0.2595","0.2595","0.2595","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","32","32","0.3928","0.3928","0.3928","32","32","32","0.3675","0.3675","0.3675","","","","","","","","","","","","","","","","","","","","","","","",""
"4.43","14","14","14","0.3729","0.3729","0.3729","14","14","14","0.3762","0.3762","0.3762","","","","","","","14","14","14","0.3464","0.3464","0.3464","","","","","","","","","","","","","","","","","","","","","","","","","14","14","14","0.3339","0.3339","0.3339","14","14","14","0.3896","0.3896","0.3896","","","","","",""
"4.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","33","33","0.4444","0.4444","0.4444","33","33","33","0.3997","0.3997","0.3997","","","","","","","","","","","","","","","","","","","","","","","",""
"4.65","","","","","","","","","","","","","","","","","","","","","","","","","19","19","19","0.2749","0.2749","0.2749","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4.69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","34","34","0.4456","0.4456","0.4456","34","34","34","0.4127","0.4127","0.4127","6","6","6","0.4318","0.4318","0.4318","","","","","","","","","","","","","","","","","",""
"4.83","15","15","15","0.3474","0.3474","0.3474","15","15","15","0.3468","0.3468","0.3468","","","","","","","15","15","15","0.3403","0.3403","0.3403","","","","","","","","","","","","","","","","","","","","","","","","","15","15","15","0.3622","0.3622","0.3622","15","15","15","0.3722","0.3722","0.3722","","","","","",""
"4.84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","35","35","0.4344","0.4344","0.4344","35","35","35","0.4134","0.4134","0.4134","","","","","","","","","","","","","","","","","","","","","","","",""
"4.94","","","","","","","","","","","","","","","","","","","","","","","","","20","20","20","0.2774","0.2774","0.2774","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4.99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","36","36","0.4643","0.4643","0.4643","36","36","36","0.4405","0.4405","0.4405","","","","","","","","","","","","","","","","","","","","","","","",""
"5.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","38","38","0.3595","0.3595","0.3595","38","38","38","0.3901","0.3901","0.3901","","","","","","","","","","","","","","","","","","","","","","","",""
"5.24","17","17","17","0.3414","0.3414","0.3414","17","17","17","0.3573","0.3573","0.3573","","","","","","","17","17","17","0.3325","0.3325","0.3325","22","22","22","0.256","0.256","0.256","","","","","","","","","","","","","","","","","","","17","17","17","0.3421","0.3421","0.3421","17","17","17","0.3637","0.3637","0.3637","","","","","",""
"5.25","","","","","","","","","","","","","9","9","9","0.3713","0.3713","0.3713","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5.29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","39","39","0.4251","0.4251","0.4251","39","39","39","0.3583","0.3583","0.3583","","","","","","","","","","","","","","","","","","","","","","","",""
"5.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","40","40","0.4127","0.4127","0.4127","40","40","40","0.3933","0.3933","0.3933","","","","","","","","","","","","","","","","","","","","","","","",""
"5.53","","","","","","","","","","","","","","","","","","","","","","","","","23","23","23","0.2707","0.2707","0.2707","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5.59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","41","41","0.3917","0.3917","0.3917","41","41","41","0.3507","0.3507","0.3507","","","","","","","","","","","","","","","","","","","","","","","",""
"5.64","18","18","18","0.3589","0.3589","0.3589","18","18","18","0.3525","0.3525","0.3525","","","","","","","18","18","18","0.3446","0.3446","0.3446","","","","","","","","","","","","","","","","","","","","","","","","","18","18","18","0.3337","0.3337","0.3337","18","18","18","0.3702","0.3702","0.3702","","","","","",""
"5.71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","6","6","0.4873","0.4873","0.4873"
"5.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","42","42","0.4718","0.4718","0.4718","42","42","42","0.3619","0.3619","0.3619","","","","","","","","","","","","","","","","","","","","","","","",""
"5.82","","","","","","","","","","","","","","","","","","","","","","","","","24","24","24","0.2619","0.2619","0.2619","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43","43","43","0.4076","0.4076","0.4076","43","43","43","0.3988","0.3988","0.3988","","","","","","","","","","","","","","","","","","","","","","","",""
"6.04","20","20","20","0.3394","0.3394","0.3394","20","20","20","0.3479","0.3479","0.3479","","","","","","","20","20","20","0.315","0.315","0.315","","","","","","","","","","","","","","","","","","","","","","","","","20","20","20","0.3375","0.3375","0.3375","20","20","20","0.3698","0.3698","0.3698","","","","","",""
"6.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45","45","45","0.3556","0.3556","0.3556","45","45","45","0.3584","0.3584","0.3584","","","","","","","","","","","","","","","","","","","","","","","",""
"6.11","","","","","","","","","","","","","","","","","","","","","","","","","26","26","26","0.258","0.258","0.258","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46","46","46","0.346","0.346","0.346","46","46","46","0.337","0.337","0.337","","","","","","","","","","","","","","","","","","","","","","","",""
"6.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","9","9","0.406","0.406","0.406","","","","","","","","","","","","","","","","","",""
"6.3","","","","","","","","","","","","","11","11","11","0.3446","0.3446","0.3446","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","47","47","0.361","0.361","0.361","47","47","47","0.3127","0.3127","0.3127","","","","","","","","","","","","","","","","","","","","","","","",""
